STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVK,Slovak Republic,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,1274244,,SVK,Slovak Republic,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,COL,Colombia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,49225,,COL,Colombia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,BEL,Belgium,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,4678400,,BEL,Belgium,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SWE,Sweden,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,3998500,,SWE,Sweden,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,HUN,Hungary,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,2364158,,HUN,Hungary,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,ISL,Iceland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,159646,,ISL,Iceland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,GBR,United Kingdom,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,24683580,,GBR,United Kingdom,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,USA,United States,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,132247286,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,NZL,New Zealand,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,2115776,,NZL,New Zealand,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,FRA,France,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,29807900,,FRA,France,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,CRI,Costa Rica,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,638109,,CRI,Costa Rica,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,NLD,Netherlands,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,6539040,,NLD,Netherlands,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,CAN,Canada,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,16832180,,CAN,Canada,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,ESP,Spain,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,17292016,,ESP,Spain,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,POL,Poland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,9991260,,POL,Poland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,LUX,Luxembourg,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,273086,,LUX,Luxembourg,A,Normal value,0,Units,0,Zero
