"oil final consumption by product in Australia",Value,Year,Units
"LPG/Ethane",114885,2000, TJ
"LPG/Ethane",117607,2001, TJ
"LPG/Ethane",102409,2002, TJ
"LPG/Ethane",102744,2003, TJ
"LPG/Ethane",102534,2004, TJ
"LPG/Ethane",99562,2005, TJ
"LPG/Ethane",115681,2006, TJ
"LPG/Ethane",102074,2007, TJ
"LPG/Ethane",96966,2008, TJ
"LPG/Ethane",85513,2009, TJ
"LPG/Ethane",94651,2010, TJ
"LPG/Ethane",94185,2011, TJ
"LPG/Ethane",99273,2012, TJ
"LPG/Ethane",97963,2013, TJ
"LPG/Ethane",96345,2014, TJ
"LPG/Ethane",81237,2015, TJ
"LPG/Ethane",77264,2016, TJ
"LPG/Ethane",66221,2017, TJ
"LPG/Ethane",58340,2018, TJ
"LPG/Ethane",56485,2019, TJ
"LPG/Ethane",54448,2020, TJ
"LPG/Ethane",52675,2021, TJ
"LPG/Ethane",45936,2022, TJ
"LPG/Ethane",44036,2023, TJ
"Naphtha",1046,2000, TJ
"Naphtha",1088,2001, TJ
"Naphtha",1172,2002, TJ
"Naphtha",1256,2003, TJ
"Naphtha",1214,2004, TJ
"Naphtha",,2005, TJ
"Naphtha",,2006, TJ
"Naphtha",,2007, TJ
"Naphtha",,2008, TJ
"Naphtha",,2009, TJ
"Naphtha",6698,2010, TJ
"Naphtha",6573,2011, TJ
"Naphtha",6698,2012, TJ
"Naphtha",4186,2013, TJ
"Naphtha",5191,2014, TJ
"Naphtha",2177,2015, TJ
"Naphtha",125,2016, TJ
"Naphtha",110,2017, TJ
"Naphtha",111,2018, TJ
"Naphtha",111,2019, TJ
"Naphtha",109,2020, TJ
"Naphtha",119,2021, TJ
"Naphtha",,2022, TJ
"Naphtha",,2023, TJ
"Motor gasoline",573172,2000, TJ
"Motor gasoline",548470,2001, TJ
"Motor gasoline",577945,2002, TJ
"Motor gasoline",581588,2003, TJ
"Motor gasoline",616506,2004, TJ
"Motor gasoline",597749,2005, TJ
"Motor gasoline",585272,2006, TJ
"Motor gasoline",590003,2007, TJ
"Motor gasoline",583849,2008, TJ
"Motor gasoline",586475,2009, TJ
"Motor gasoline",587893,2010, TJ
"Motor gasoline",595470,2011, TJ
"Motor gasoline",585270,2012, TJ
"Motor gasoline",583128,2013, TJ
"Motor gasoline",565976,2014, TJ
"Motor gasoline",566894,2015, TJ
"Motor gasoline",564940,2016, TJ
"Motor gasoline",571248,2017, TJ
"Motor gasoline",562122,2018, TJ
"Motor gasoline",552961,2019, TJ
"Motor gasoline",490767,2020, TJ
"Motor gasoline",489348,2021, TJ
"Motor gasoline",451038,2022, TJ
