"oil final consumption by product in Belgium",Value,Year,Units
"LPG/Ethane",23864,2000, TJ
"LPG/Ethane",24492,2001, TJ
"LPG/Ethane",19301,2002, TJ
"LPG/Ethane",15700,2003, TJ
"LPG/Ethane",12979,2004, TJ
"LPG/Ethane",13020,2005, TJ
"LPG/Ethane",15365,2006, TJ
"LPG/Ethane",20557,2007, TJ
"LPG/Ethane",24660,2008, TJ
"LPG/Ethane",53758,2009, TJ
"LPG/Ethane",49822,2010, TJ
"LPG/Ethane",58992,2011, TJ
"LPG/Ethane",61001,2012, TJ
"LPG/Ethane",65104,2013, TJ
"LPG/Ethane",75236,2014, TJ
"LPG/Ethane",75739,2015, TJ
"LPG/Ethane",64602,2016, TJ
"LPG/Ethane",66419,2017, TJ
"LPG/Ethane",95580,2018, TJ
"LPG/Ethane",99905,2019, TJ
"LPG/Ethane",91276,2020, TJ
"LPG/Ethane",94889,2021, TJ
"LPG/Ethane",96321,2022, TJ
"LPG/Ethane",110883,2023, TJ
"LPG/Ethane",,2024, TJ
"Naphtha",172328,2000, TJ
"Naphtha",164290,2001, TJ
"Naphtha",168769,2002, TJ
"Naphtha",160898,2003, TJ
"Naphtha",176473,2004, TJ
"Naphtha",187024,2005, TJ
"Naphtha",157298,2006, TJ
"Naphtha",151394,2007, TJ
"Naphtha",187861,2008, TJ
"Naphtha",150766,2009, TJ
"Naphtha",173542,2010, TJ
"Naphtha",153529,2011, TJ
"Naphtha",165169,2012, TJ
"Naphtha",185684,2013, TJ
"Naphtha",198035,2014, TJ
"Naphtha",178273,2015, TJ
"Naphtha",184554,2016, TJ
"Naphtha",162133,2017, TJ
"Naphtha",159383,2018, TJ
"Naphtha",131004,2019, TJ
"Naphtha",134747,2020, TJ
"Naphtha",152131,2021, TJ
"Naphtha",120349,2022, TJ
"Naphtha",96539,2023, TJ
"Naphtha",,2024, TJ
"Motor gasoline",94085,2000, TJ
"Motor gasoline",91615,2001, TJ
"Motor gasoline",87487,2002, TJ
"Motor gasoline",88232,2003, TJ
"Motor gasoline",80947,2004, TJ
"Motor gasoline",75073,2005, TJ
"Motor gasoline",69840,2006, TJ
"Motor gasoline",66030,2007, TJ
"Motor gasoline",60595,2008, TJ
"Motor gasoline",57502,2009, TJ
"Motor gasoline",51380,2010, TJ
"Motor gasoline",49497,2011, TJ
"Motor gasoline",48263,2012, TJ
"Motor gasoline",48177,2013, TJ
"Motor gasoline",51695,2014, TJ
"Motor gasoline",54851,2015, TJ
"Motor gasoline",59140,2016, TJ
"Motor gasoline",59137,2017, TJ
"Motor gasoline",65989,2018, TJ
"Motor gasoline",73782,2019, TJ
"Motor gasoline",60949,2020, TJ
"Motor gasoline",73920,2021, TJ
"Motor gasoline",83934,2022, TJ
