"oil final consumption by product in Finland",Value,Year,Units
"LPG/Ethane",14486,2000, TJ
"LPG/Ethane",13648,2001, TJ
"LPG/Ethane",13565,2002, TJ
"LPG/Ethane",14779,2003, TJ
"LPG/Ethane",15281,2004, TJ
"LPG/Ethane",16035,2005, TJ
"LPG/Ethane",17165,2006, TJ
"LPG/Ethane",16454,2007, TJ
"LPG/Ethane",17249,2008, TJ
"LPG/Ethane",14402,2009, TJ
"LPG/Ethane",17668,2010, TJ
"LPG/Ethane",17458,2011, TJ
"LPG/Ethane",17919,2012, TJ
"LPG/Ethane",41826,2013, TJ
"LPG/Ethane",43877,2014, TJ
"LPG/Ethane",42161,2015, TJ
"LPG/Ethane",41449,2016, TJ
"LPG/Ethane",39900,2017, TJ
"LPG/Ethane",43249,2018, TJ
"LPG/Ethane",43961,2019, TJ
"LPG/Ethane",43626,2020, TJ
"LPG/Ethane",41826,2021, TJ
"LPG/Ethane",41072,2022, TJ
"LPG/Ethane",33913,2023, TJ
"LPG/Ethane",,2024, TJ
"Naphtha",10718,2000, TJ
"Naphtha",8164,2001, TJ
"Naphtha",8164,2002, TJ
"Naphtha",7996,2003, TJ
"Naphtha",8122,2004, TJ
"Naphtha",10467,2005, TJ
"Naphtha",10885,2006, TJ
"Naphtha",12644,2007, TJ
"Naphtha",12769,2008, TJ
"Naphtha",12560,2009, TJ
"Naphtha",13397,2010, TJ
"Naphtha",13816,2011, TJ
"Naphtha",11723,2012, TJ
"Naphtha",13439,2013, TJ
"Naphtha",12769,2014, TJ
"Naphtha",12434,2015, TJ
"Naphtha",14779,2016, TJ
"Naphtha",12518,2017, TJ
"Naphtha",11890,2018, TJ
"Naphtha",10257,2019, TJ
"Naphtha",10467,2020, TJ
"Naphtha",7787,2021, TJ
"Naphtha",9504,2022, TJ
"Naphtha",4856,2023, TJ
"Naphtha",,2024, TJ
"Motor gasoline",74859,2000, TJ
"Motor gasoline",75864,2001, TJ
"Motor gasoline",77162,2002, TJ
