"oil final consumption by product in France",Value,Year,Units
"LPG/Ethane",153362,2000, TJ
"LPG/Ethane",155790,2001, TJ
"LPG/Ethane",156376,2002, TJ
"LPG/Ethane",147919,2003, TJ
"LPG/Ethane",149468,2004, TJ
"LPG/Ethane",147040,2005, TJ
"LPG/Ethane",163075,2006, TJ
"LPG/Ethane",168937,2007, TJ
"LPG/Ethane",172119,2008, TJ
"LPG/Ethane",163578,2009, TJ
"LPG/Ethane",158051,2010, TJ
"LPG/Ethane",147260,2011, TJ
"LPG/Ethane",147088,2012, TJ
"LPG/Ethane",161107,2013, TJ
"LPG/Ethane",173066,2014, TJ
"LPG/Ethane",170022,2015, TJ
"LPG/Ethane",163488,2016, TJ
"LPG/Ethane",160394,2017, TJ
"LPG/Ethane",160765,2018, TJ
"LPG/Ethane",176187,2019, TJ
"LPG/Ethane",145614,2020, TJ
"LPG/Ethane",148098,2021, TJ
"LPG/Ethane",127760,2022, TJ
"LPG/Ethane",119871,2023, TJ
"LPG/Ethane",,2024, TJ
"Naphtha",251417,2000, TJ
"Naphtha",213987,2001, TJ
"Naphtha",262051,2002, TJ
"Naphtha",284325,2003, TJ
"Naphtha",277919,2004, TJ
"Naphtha",279008,2005, TJ
"Naphtha",279803,2006, TJ
"Naphtha",277375,2007, TJ
"Naphtha",253636,2008, TJ
"Naphtha",197533,2009, TJ
"Naphtha",204148,2010, TJ
"Naphtha",201133,2011, TJ
"Naphtha",219095,2012, TJ
"Naphtha",188657,2013, TJ
"Naphtha",199501,2014, TJ
"Naphtha",179027,2015, TJ
"Naphtha",161401,2016, TJ
"Naphtha",186061,2017, TJ
"Naphtha",152022,2018, TJ
"Naphtha",160602,2019, TJ
"Naphtha",189056,2020, TJ
"Naphtha",218652,2021, TJ
"Naphtha",154477,2022, TJ
"Naphtha",167086,2023, TJ
"Naphtha",,2024, TJ
"Motor gasoline",574722,2000, TJ
"Motor gasoline",558644,2001, TJ
"Motor gasoline",538883,2002, TJ
"Motor gasoline",505095,2003, TJ
"Motor gasoline",480225,2004, TJ
"Motor gasoline",448364,2005, TJ
"Motor gasoline",419098,2006, TJ
"Motor gasoline",389665,2007, TJ
"Motor gasoline",347755,2008, TJ
"Motor gasoline",335278,2009, TJ
"Motor gasoline",309488,2010, TJ
"Motor gasoline",316097,2011, TJ
"Motor gasoline",293935,2012, TJ
"Motor gasoline",284381,2013, TJ
"Motor gasoline",282946,2014, TJ
"Motor gasoline",286975,2015, TJ
"Motor gasoline",293993,2016, TJ
"Motor gasoline",301811,2017, TJ
"Motor gasoline",311738,2018, TJ
"Motor gasoline",331942,2019, TJ
"Motor gasoline",286189,2020, TJ
"Motor gasoline",343720,2021, TJ
"Motor gasoline",376362,2022, TJ
"Motor gasoline",400229,2023, TJ
"Motor gasoline",,2024, TJ
"Gas/Diesel",1851821,2000, TJ
"Gas/Diesel",1965200,2001, TJ
"Gas/Diesel",1931831,2002, TJ
"Gas/Diesel",1979644,2003, TJ
"Gas/Diesel",2005114,2004, TJ
"Gas/Diesel",1998169,2005, TJ
"Gas/Diesel",1983702,2006, TJ
"Gas/Diesel",1932198,2007, TJ
"Gas/Diesel",1928187,2008, TJ
"Gas/Diesel",1903565,2009, TJ
"Gas/Diesel",1896427,2010, TJ
"Gas/Diesel",1918334,2011, TJ
"Gas/Diesel",1924368,2012, TJ
"Gas/Diesel",1935687,2013, TJ
"Gas/Diesel",1862645,2014, TJ
"Gas/Diesel",1893152,2015, TJ
"Gas/Diesel",1866090,2016, TJ
"Gas/Diesel",1864112,2017, TJ
"Gas/Diesel",1789719,2018, TJ
"Gas/Diesel",1733221,2019, TJ
"Gas/Diesel",1529245,2020, TJ
"Gas/Diesel",1649200,2021, TJ
"Gas/Diesel",1606663,2022, TJ
"Gas/Diesel",1504836,2023, TJ
"Gas/Diesel",,2024, TJ
