"oil final consumption by product in Japan",Value,Year,Units
"LPG/Ethane",587818,2000, TJ
"LPG/Ethane",584536,2001, TJ
"LPG/Ethane",604882,2002, TJ
"LPG/Ethane",549534,2003, TJ
"LPG/Ethane",538255,2004, TJ
"LPG/Ethane",513274,2005, TJ
"LPG/Ethane",596178,2006, TJ
"LPG/Ethane",550308,2007, TJ
"LPG/Ethane",508035,2008, TJ
"LPG/Ethane",528940,2009, TJ
"LPG/Ethane",493487,2010, TJ
"LPG/Ethane",513241,2011, TJ
"LPG/Ethane",509388,2012, TJ
"LPG/Ethane",529520,2013, TJ
"LPG/Ethane",516820,2014, TJ
"LPG/Ethane",454660,2015, TJ
"LPG/Ethane",430043,2016, TJ
"LPG/Ethane",424254,2017, TJ
"LPG/Ethane",456574,2018, TJ
"LPG/Ethane",431729,2019, TJ
"LPG/Ethane",401700,2020, TJ
"LPG/Ethane",395557,2021, TJ
"LPG/Ethane",380943,2022, TJ
"LPG/Ethane",351588,2023, TJ
"LPG/Ethane",,2024, TJ
"Naphtha",1244771,2000, TJ
"Naphtha",1187375,2001, TJ
"Naphtha",1225985,2002, TJ
"Naphtha",1261218,2003, TJ
"Naphtha",1322685,2004, TJ
"Naphtha",1308789,2005, TJ
"Naphtha",1314897,2006, TJ
"Naphtha",1314725,2007, TJ
"Naphtha",1100645,2008, TJ
"Naphtha",1238852,2009, TJ
"Naphtha",1230452,2010, TJ
"Naphtha",1175170,2011, TJ
"Naphtha",1186528,2012, TJ
"Naphtha",1276383,2013, TJ
"Naphtha",1224710,2014, TJ
"Naphtha",1310710,2015, TJ
"Naphtha",1234770,2016, TJ
"Naphtha",1272078,2017, TJ
"Naphtha",1199719,2018, TJ
"Naphtha",1205320,2019, TJ
"Naphtha",1090645,2020, TJ
"Naphtha",1097330,2021, TJ
"Naphtha",973781,2022, TJ
"Naphtha",936052,2023, TJ
"Naphtha",,2024, TJ
"Motor gasoline",1801684,2000, TJ
"Motor gasoline",1840612,2001, TJ
"Motor gasoline",1844888,2002, TJ
"Motor gasoline",1866284,2003, TJ
"Motor gasoline",1894882,2004, TJ
"Motor gasoline",1892735,2005, TJ
"Motor gasoline",1865844,2006, TJ
"Motor gasoline",1820423,2007, TJ
"Motor gasoline",1772096,2008, TJ
"Motor gasoline",1774232,2009, TJ
"Motor gasoline",1779649,2010, TJ
"Motor gasoline",1751719,2011, TJ
