"oil final consumption by product in Portugal",Value,Year,Units
"LPG/Ethane",43291,2000, TJ
"LPG/Ethane",42161,2001, TJ
"LPG/Ethane",41574,2002, TJ
"LPG/Ethane",39314,2003, TJ
"LPG/Ethane",39230,2004, TJ
"LPG/Ethane",36969,2005, TJ
"LPG/Ethane",35880,2006, TJ
"LPG/Ethane",36508,2007, TJ
"LPG/Ethane",35839,2008, TJ
"LPG/Ethane",30563,2009, TJ
"LPG/Ethane",30103,2010, TJ
"LPG/Ethane",29181,2011, TJ
"LPG/Ethane",24409,2012, TJ
"LPG/Ethane",34289,2013, TJ
"LPG/Ethane",41449,2014, TJ
"LPG/Ethane",35294,2015, TJ
"LPG/Ethane",33159,2016, TJ
"LPG/Ethane",30633,2017, TJ
"LPG/Ethane",25854,2018, TJ
"LPG/Ethane",33416,2019, TJ
"LPG/Ethane",33892,2020, TJ
"LPG/Ethane",31366,2021, TJ
"LPG/Ethane",30974,2022, TJ
"LPG/Ethane",21232,2023, TJ
"LPG/Ethane",,2024, TJ
"Naphtha",57317,2000, TJ
"Naphtha",42872,2001, TJ
"Naphtha",47478,2002, TJ
"Naphtha",53549,2003, TJ
"Naphtha",57819,2004, TJ
"Naphtha",57149,2005, TJ
"Naphtha",44924,2006, TJ
"Naphtha",59326,2007, TJ
"Naphtha",44631,2008, TJ
"Naphtha",38099,2009, TJ
"Naphtha",49069,2010, TJ
"Naphtha",49613,2011, TJ
"Naphtha",38769,2012, TJ
"Naphtha",31652,2013, TJ
"Naphtha",29056,2014, TJ
"Naphtha",27674,2015, TJ
"Naphtha",22776,2016, TJ
"Naphtha",25909,2017, TJ
"Naphtha",13807,2018, TJ
"Naphtha",22746,2019, TJ
"Naphtha",20145,2020, TJ
"Naphtha",21717,2021, TJ
"Naphtha",13729,2022, TJ
"Naphtha",5714,2023, TJ
"Naphtha",,2024, TJ
"Motor gasoline",89011,2000, TJ
"Motor gasoline",83652,2001, TJ
"Motor gasoline",86624,2002, TJ
"Motor gasoline",84029,2003, TJ
"Motor gasoline",80763,2004, TJ
"Motor gasoline",75822,2005, TJ
"Motor gasoline",70087,2006, TJ
"Motor gasoline",66528,2007, TJ
"Motor gasoline",62383,2008, TJ
"Motor gasoline",61294,2009, TJ
"Motor gasoline",58238,2010, TJ
"Motor gasoline",52335,2011, TJ
"Motor gasoline",47143,2012, TJ
"Motor gasoline",46012,2013, TJ
"Motor gasoline",45636,2014, TJ
"Motor gasoline",43877,2015, TJ
"Motor gasoline",43165,2016, TJ
"Motor gasoline",43078,2017, TJ
"Motor gasoline",42685,2018, TJ
"Motor gasoline",44207,2019, TJ
"Motor gasoline",36607,2020, TJ
