Entity,Code,Year,plugin_hybrid_share,battery_electric_share,petrol_share,diesel_gas_share,full_mild_hybrid_share
Austria,AUT,2001,0,0,34.32529205,65.66142127,0.013286682
Austria,AUT,2002,0,0.000357791,30.38358742,69.60997234,0.006082442
Austria,AUT,2003,0,0,28.61831474,71.37901966,0.002665609
Austria,AUT,2004,0,0,30.96370873,68.99356542,0.042725845
Austria,AUT,2005,0,0,38.85354249,60.99706078,0.14939673
Austria,AUT,2006,0,0,37.66652084,62.1439103,0.189568852
Austria,AUT,2007,0,0,40.42309872,59.32001033,0.256890949
Austria,AUT,2008,0,0.000680976,44.94204892,54.8308455,0.226424602
Austria,AUT,2009,0,0.012216973,53.1601238,46.49654792,0.331111306
Austria,AUT,2010,0,0.034145092,48.2714047,51.31397632,0.380473885
Austria,AUT,2011,0,0.177737095,44.40394896,55.05216991,0.366144032
Austria,AUT,2012,0,0.184220708,42.48087855,56.74503735,0.589863397
Austria,AUT,2013,0,0.262980551,42.25711912,56.72449731,0.755403012
Austria,AUT,2014,0.103521716,0.462880541,41.96420918,56.83704891,0.632339657
Austria,AUT,2015,0.33413816,0.569104374,40.03435368,58.40125747,0.661146311
Austria,AUT,2016,0.512433102,1.025169597,40.15303212,57.31756896,0.991796216
Austria,AUT,2017,0.474357523,1.537699536,46.71968754,49.66234575,1.605909657
Austria,AUT,2018,0.659692495,1.983182239,54.48180421,41.12757573,1.747745318
Austria,AUT,2019,0.650953507,2.698845954,53.25583019,39.60129098,3.793079368
Belgium,BEL,2001,0,0.001023269,38.08280294,61.90635041,0.009823384
Belgium,BEL,2002,0,0.000855652,37.27218277,62.72418071,0.002780868
Belgium,BEL,2003,0,0,31.74312167,68.24946645,0.00741188
Belgium,BEL,2004,0,0,29.99220098,69.97994537,0.027853659
Belgium,BEL,2005,0,0,27.29433676,72.60608157,0.099581674
Belgium,BEL,2006,0,0,26.01855495,73.81132951,0.170115546
Belgium,BEL,2007,0,0,22.7166754,77.03378926,0.249535338
Belgium,BEL,2008,0,0,20.79231948,78.85710659,0.350573929
Belgium,BEL,2009,0,0,24.39648366,75.21671843,0.386797915
Belgium,BEL,2010,0,0.006590835,23.62375117,75.62379511,0.745862878
Belgium,BEL,2011,0,0.048409055,23.47611966,75.31103255,1.164438743
Belgium,BEL,2012,0,0.169701851,29.93799513,68.87368101,1.018622005
Belgium,BEL,2013,0,0.154507038,33.81420477,64.86312446,1.168163732
Belgium,BEL,2014,0.127759671,0.281816714,36.07792305,61.96054152,1.551959051
Belgium,BEL,2015,0.285191971,0.324308574,37.92175083,59.93701429,1.531734342
Belgium,BEL,2016,1.351759623,0.370700568,44.78155542,51.79150317,1.704481214
Belgium,BEL,2017,2.172870949,0.464909488,48.75713099,46.34860344,2.256485131
Belgium,BEL,2018,1.6491034,0.663716814,59.51855059,35.52704355,2.641585643
Belgium,BEL,2019,1.539082514,1.606718509,61.86002622,31.4714647,3.522708058
Denmark,DNK,2001,0,0.007282867,82.11536061,17.87735653,0
Denmark,DNK,2002,0,0.000891146,79.57492314,20.42418571,0
Denmark,DNK,2003,0,0.002057423,76.67499923,23.32294335,0
Denmark,DNK,2004,0,0.002462124,75.217898,24.77143279,0.008207081
Denmark,DNK,2005,0,0.001349737,75.01434096,24.98093496,0.003374343
Denmark,DNK,2006,0,0.001274624,72.13990275,27.85053757,0.008285057
Denmark,DNK,2007,0,0.001228682,60.05000737,39.94016317,0.008600777
Denmark,DNK,2008,0,0.003318973,53.21442559,46.7503933,0.031862143
Denmark,DNK,2009,0,0.069665872,55.24414315,44.6352813,0.050909676
Denmark,DNK,2010,0,0.027397796,53.62009694,46.25726531,0.095239959
Denmark,DNK,2011,0,0.268814042,51.70052822,47.88948625,0.141171488
Denmark,DNK,2012,0,0.315605183,59.58965471,39.84647184,0.24826827
Denmark,DNK,2013,0,0.296794836,67.32884647,31.77470072,0.599657969
Denmark,DNK,2014,0.002115641,0.870586244,67.08750291,31.39769818,0.642097023
Denmark,DNK,2015,0.126814826,2.159227346,65.66597071,30.96210503,1.085882086
Denmark,DNK,2016,0.320871911,0.525674234,60.6685429,35.90269873,2.582212224
Denmark,DNK,2017,0.275489534,0.320504164,61.04614,35.12221472,3.235651587
