year,total_stock,car_share_pct,car_stock,suv_share_pct,suv_stock,light_truck_share_pct,light_truck_stock
2001,9835884,69.66,6851923,13.92,1369647,16.41,1614314
2002,10101441,68.12,6881607,14.75,1489963,17.12,1729872
2003,10365941,66.59,6902421,15.57,1614495,17.84,1849025
2004,10629401,65.05,6914425,16.4,1743222,18.55,1971754
2005,10896410,63.51,6920582,17.23,1876907,19.26,2098921
2006,11188880,61.98,6934308,18.05,2019593,19.97,2234979
2007,11462400,60.44,6927588,18.88,2163528,20.69,2371284
2008,11803536,58.9,6952283,19.7,2325297,21.4,2525957
2009,12023098,56.9,6841143,21.86,2627906,21.23,2552332
2010,12165000,54.9,6678585,24.01,2921338,21.06,2561601
2011,12428000,52.9,6574412,26.17,3252585,20.89,2595677
2012,12716000,50.9,6472444,28.33,3602261,20.71,2634029
2013,12994000,48.9,6354066,30.49,3961314,20.54,2669339
2014,13255000,46.9,6216595,32.64,4326811,20.37,2700233
2015,13513000,44.9,6067337,34.8,4702524,20.2,2729626
2016,13766000,43.05,5926263,36.2,4983292,20.66,2844400
2017,14004000,41.2,5769648,37.6,5265504,21.12,2958345
2018,14213000,39.35,5592816,39.0,5543070,21.59,3068231
2019,14395000,37.5,5398125,40.4,5815580,22.05,3174097
2020,14679249,35.65,5233152,41.8,6135926,22.51,3304666
2021,14854000,33.8,5020652,43.2,6416928,22.97,3412706
2022,15095000,31.95,4822853,44.6,6732370,23.44,3537891
2023,15330000,30.1,4614330,46.0,7051800,23.9,3663870
