Vehicle type,Passenger cars,Light Trucks
January 2000,46026,47975
February 2000,50495,48315
March 2000,83491,72005
April 2000,82521,65098
May 2000,93729,73496
June 2000,84131,76518
July 2000,69409,59551
August 2000,78559,63174
September 2000,76175,70186
October 2000,62751,50185
November 2000,63661,53948
December 2000,58223,57939
January 2001,48782,48009
February 2001,45700,43459
March 2001,75779,67410
April 2001,83053,67126
May 2001,99699,69359
June 2001,89268,71811
July 2001,73503,56996
August 2001,78974,60056
September 2001,68935,58110
October 2001,68642,55575
November 2001,70050,61867
December 2001,66248,69553
January 2002,56270,55835
February 2002,52588,51393
March 2002,81118,69168
April 2002,95304,72254
May 2002,106497,79816
June 2002,90387,77918
July 2002,78979,62122
August 2002,84511,66354
September 2002,79125,65172
October 2002,75097,62854
November 2002,64350,62894
December 2002,70478,72834
January 2003,49890,45587
February 2003,54638,50753
March 2003,79385,69537
April 2003,86793,66174
May 2003,103507,81912
June 2003,80086,69730
July 2003,78388,70569
August 2003,78013,67095
September 2003,73286,68702
October 2003,65226,59201
November 2003,60556,54570
December 2003,55707,57163
January 2004,43142,42096
February 2004,46029,48748
March 2004,75551,74054
April 2004,86641,73554
May 2004,93328,72808
June 2004,80237,73897
July 2004,72570,63993
August 2004,73943,62244
September 2004,66729,63970
October 2004,63898,59654
November 2004,60462,59825
December 2004,57573,60249
January 2005,39544,42475
February 2005,50559,55505
March 2005,76197,72099
April 2005,91395,76046
May 2005,88257,73608
June 2005,85599,80425
July 2005,80412,78384
August 2005,78942,67920
September 2005,70233,58198
October 2005,64249,54744
November 2005,62113,61998
December 2005,57722,63686
January 2006,44184,45238
February 2006,48758,51982
March 2006,79363,76627
April 2006,86258,73178
May 2006,96175,77116
June 2006,88055,73974
July 2006,76556,68965
August 2006,82244,75624
September 2006,72815,67250
October 2006,62448,60628
November 2006,63756,63976
December 2006,62549,68608
January 2007,42705,51708
February 2007,47256,52621
March 2007,76487,77963
April 2007,92446,79982
May 2007,102564,86512
June 2007,91729,80758
July 2007,77722,67648
August 2007,84067,76816
September 2007,70855,63661
October 2007,62005,62067
November 2007,58188,61824
December 2007,52979,69975
January 2008,51719,53827
February 2008,58210,55667
March 2008,80124,73381
April 2008,98333,80956
May 2008,109387,78750
June 2008,95991,67073
July 2008,85826,66878
August 2008,80923,68684
September 2008,74483,62996
October 2008,63518,62546
November 2008,51253,56456
December 2008,44739,52425
January 2009,35743,43074
February 2009,40786,41253
March 2009,65695,64136
April 2009,75332,70694
May 2009,83181,72844
June 2009,74028,66414
July 2009,73425,68196
August 2009,68383,68588
September 2009,67469,63806
October 2009,61429,62178
November 2009,51261,53328
December 2009,50939,62674
January 2010,35674,47838
February 2010,45417,56371
March 2010,70252,77800
April 2010,70512,81675
May 2010,74680,82402
June 2010,72882,84009
July 2010,67582,83218
August 2010,61097,77113
September 2010,59650,77699
October 2010,55391,70340
November 2010,51203,67318
December 2010,45874,68502
January 2011,32183,54137
February 2011,39579,58568
March 2011,69255,87197
April 2011,75684,86929
May 2011,69403,82661
June 2011,76273,91846
July 2011,62868,81303
August 2011,60386,83267
September 2011,56675,80985
October 2011,52364,76685
November 2011,50763,73703
December 2011,45646,72217
January 2012,40585,59863
February 2012,46282,63535
March 2012,73645,88043
April 2012,76367,85005
May 2012,84001,96367
June 2012,78879,94311
July 2012,63244,88207
August 2012,66277,86300
September 2012,65435,80835
October 2012,61306,77586
November 2012,54974,73875
December 2012,48029,63852
January 2013,39011,58861
February 2013,44331,61480
March 2013,70204,89749
April 2013,77096,98085
May 2013,86045,102985
June 2013,74987,99452
July 2013,70674,91161
August 2013,70272,91099
September 2013,65940,85704
October 2013,63218,84963
November 2013,56011,79765
December 2013,43131,72237
January 2014,36177,61447
February 2014,40580,66921
March 2014,65831,94824
April 2014,77233,105006
May 2014,84304,115264
June 2014,77288,102268
July 2014,74332,106350
August 2014,70823,103934
September 2014,66762,105307
October 2014,64827,94317
November 2014,54479,87284
December 2014,47813,87016
January 2015,35066,66531
February 2015,40528,71405
March 2015,64020,100382
April 2015,78960,113687
May 2015,82824,118779
June 2015,68281,113499
July 2015,66720,114604
August 2015,63901,114690
September 2015,62938,115800
October 2015,58108,108413
November 2015,50252,97911
December 2015,40724,91494
January 2016,33791,76895
February 2016,38875,83058
March 2016,61683,116544
April 2016,72531,131026
May 2016,72989,125436
June 2016,66409,127409
July 2016,59143,116703
August 2016,58594,116382
September 2016,58117,119074
October 2016,52846,104568
November 2016,48866,114454
December 2016,37244,91108
January 2017,32145,80851
February 2017,38014,87270
March 2017,61184,129560
April 2017,65959,134332
May 2017,75096,145340
June 2017,66511,140497
July 2017,58475,126334
August 2017,60862,126346
September 2017,58817,131823
October 2017,50199,117693
November 2017,45597,116306
December 2017,34101,93633
January 2018,32793,87453
February 2018,37082,91317
March 2018,53788,137075
April 2018,57912,137926
May 2018,69027,151831
June 2018,63074,143914
July 2018,52882,126872
August 2018,52824,132525
September 2018,52139,129377
October 2018,45990,120576
November 2018,39560,110583
December 2018,29286,89915
January 2019,27024,85154
February 2019,30309,94184
March 2019,49509,138398
April 2019,50264,136223
May 2019,58714,149661
June 2019,52795,141090
July 2019,46497,131953
August 2019,44800,143161
September 2019,42003,131006
October 2019,37896,125822
November 2019,32162,115059
December 2019,24878,91588
January 2020,23301,90049
February 2020,26492,101037
March 2020,22887,75132
April 2020,8628,38880
May 2020,25210,90892
June 2020,37460,126404
July 2020,34884,132716
August 2020,35276,137371
September 2020,36075,141982
October 2020,28953,131071
November 2020,24773,108960
December 2020,21555,92131
January 2021,15049,76459
February 2021,18982,96241
March 2021,30786,145250
April 2021,31980,135621
May 2021,33820,125739
June 2021,38306,131186
July 2021,32573,124993
August 2021,31559,120384
September 2021,32040,113243
October 2021,26036,110363
November 2021,19805,96819
December 2021,17058,88022
January 2022,17219,79292
February 2022,18949,86910
March 2022,26035,120940
April 2022,24531,118379
May 2022,25407,124544
June 2022,28240,124364
July 2022,24340,110303
August 2022,27613,109202
September 2022,23819,116275
October 2022,20228,110857
November 2022,20576,104763
December 2022,16029,94242
January 2023,14959,88396
February 2023,16207,93373
March 2023,21403,131143
April 2023,20079,130260
May 2023,24454,146380
June 2023,28701,140149
July 2023,20798,126820
August 2023,23947,135721
September 2023,25403,138765
October 2023,20399,131579
November 2023,18267,126367
December 2023,17621,111206
January 2024,15078,103016
February 2024,15481,120929
March 2024,24138,149327
April 2024,24073,151742
May 2024,26227,158951
June 2024,21259,145682
July 2024,22009,146301
August 2024,21199,144954
September 2024,21490,145267
October 2024,20419,144273
November 2024,19379,142156
December 2024,16453,119058
