Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
MINIS,DACIA SPRING,3655,0,1051,0,0,63.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3655,-
,FIAT 500,20618,73.1,1241,58.9,9.2,68.9,1628,161.8,7,23.6,69,-,-,-,-,-,-,-,-,11375,-,7615,-
,FIAT PANDA,4661,113,1090,103.7,14.8,69,145,156,6.7,35.9,70,-,-,-,-,-,-,-,-,4516,-,-,-
,HYUNDAI I 10,15043,119.8,1078,111.1,21.5,68.7,15042,119.8,5.2,21.5,68.7,-,-,-,-,-,-,-,1,-,-,-,-
,KIA PICANTO,9904,117.5,1085,108.2,17.2,68.9,9904,117.5,5.1,17.2,68.9,-,-,-,-,-,-,-,-,-,-,-,-
,LEAPMOTOR T03,159,0,1250,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-
,RENAULT TWINGO,2583,81.9,1105,74.1,15.3,67.5,1806,117.3,5.1,21.9,69,-,-,-,-,-,-,-,-,-,-,777,-
,SMART FORTWO,3137,0,1104,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3137,-
,TOYOTA AYGO,18060,110.1,1076,102.4,13.8,67.8,18059,110.1,4.7,13.8,67.8,1,110,4.2,-,67,-,-,-,-,-,-,-
,VW UP,2498,70.1,1094,64.1,6.1,68.4,1509,116.2,5,10,68.1,-,-,-,-,-,-,2,-,-,-,987,-
,SONSTIGE,1,-,1158,-,-,71,1,-,-,-,71,-,-,-,-,-,-,-,-,-,-,-,-
MINIS ZUSAMMEN,,80319,91.7,1123,81.7,13.1,68.2,48094,117,5,17.5,68.4,1,110,4.2,-,67,-,2,1,15891,-,16330,-
KLEINWAGEN,AUDI A1,13463,131.1,1218,107.7,22.7,68.5,13463,131.1,5.7,22.7,68.5,-,-,-,-,-,-,-,-,-,-,-,-
,CITROEN C3,16093,128.8,1282,100.5,23.1,67.3,15222,129.9,5.6,21.1,67.3,737,126.8,4.8,68.1,67.9,0.9,-,-,12,-,122,-
,DS DS3,257,117.9,1428,82.6,35.2,66.8,115,137.1,5.9,23.7,66.9,98,135.7,5.1,62.8,67,0.2,-,-,11,-,33,-
,FORD FIESTA,411,122.3,1311,93.3,9.8,66.9,201,126.9,5.5,5.2,67.8,-,-,-,-,-,-,-,-,210,-,-,-
,FORD PUMA,18383,128.1,1426,89.8,16.5,65.3,697,150.6,6.5,4.2,68.9,-,-,-,-,-,-,-,-,17686,-,-,-
